Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SERPINA1","Serpin Family A Member 1","Protein Coding","P01009","62","GC14M094376","7.02693748474121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1"
"CD4","CD4 Molecule","Protein Coding","P01730","63","GC12P006786","7.02439260482788","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","Q9Y4K3","59","GC11M036467","7.02066040039063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","7.0014123916626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"ANK3","Ankyrin 3","Protein Coding","Q12955","56","GC10M060026","6.98899841308594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANK3"
"FTCD","Formimidoyltransferase Cyclodeaminase","Protein Coding","O95954","53","GC21M054260","6.98410797119141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTCD"
"PRKG1","Protein Kinase CGMP-Dependent 1","Protein Coding","Q13976","63","GC10P051005","6.97245121002197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKG1"
"DHX37","DEAH-Box Helicase 37","Protein Coding","Q8IY37","47","GC12M124946","6.96362924575806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX37"
"F9","Coagulation Factor IX","Protein Coding","P00740","60","GC0XP139530","6.96306610107422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F9"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","P01889","59","GC06M100255","6.95513486862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"EPO","Erythropoietin","Protein Coding","P01588","55","GC07P100720","6.95489597320557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","6.94871187210083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","58","GC11M018031","6.93267679214478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","6.93006896972656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"NDUFV1","NADH:Ubiquinone Oxidoreductase Core Subunit V1","Protein Coding","P49821","57","GC11P099156","6.9056282043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV1"
"NADSYN1","NAD Synthetase 1","Protein Coding","Q6IA69","52","GC11P099262","6.90442085266113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NADSYN1"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","63","GC08P019901","6.88110160827637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"CYP27A1","Cytochrome P450 Family 27 Subfamily A Member 1","Protein Coding","Q02318","59","GC02P218781","6.83836555480957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1"
"HSPA1A","Heat Shock Protein Family A (Hsp70) Member 1A","Protein Coding","P0DMV8","59","GC06P156262","6.83147478103638","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A"
"LOC107133510","Origin Of Replication At HBB","Functional Element","","11","GC11P005222","6.82396650314331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107133510"
"GRIN2A","Glutamate Ionotropic Receptor NMDA Type Subunit 2A","Protein Coding","Q12879","64","GC16M009753","6.79678726196289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2A"
"MPO","Myeloperoxidase","Protein Coding","P05164","65","GC17M058269","6.793137550354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"ERN1","Endoplasmic Reticulum To Nucleus Signaling 1","Protein Coding","O75460","60","GC17M064039","6.79126644134521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERN1"
"ARSA","Arylsulfatase A","Protein Coding","P15289","59","GC22M050622","6.78964710235596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSA"
"SIRT5","Sirtuin 5","Protein Coding","Q9NXA8","58","GC06P013574","6.77349042892456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT5"
"HPRT1","Hypoxanthine Phosphoribosyltransferase 1","Protein Coding","P00492","61","GC0XP134460","6.77065372467041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPRT1"
"ADA2","Adenosine Deaminase 2","Protein Coding","Q9NZK5","54","GC22M017342","6.72484683990479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA2"
"XDH","Xanthine Dehydrogenase","Protein Coding","P47989","60","GC02M031334","6.70514869689941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XDH"
"TF","Transferrin","Protein Coding","P02787","63","GC03P140959","6.70300197601318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF"
"LOC106099062","HBB Recombination Region","Functional Element","","11","GC11P014257","6.67901229858398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106099062"
"SERPINC1","Serpin Family C Member 1","Protein Coding","P01008","62","GC01M175056","6.67516851425171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1"
"SLC25A24","Solute Carrier Family 25 Member 24","Protein Coding","Q6NUK1","54","GC01M108134","6.65858554840088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A24"
"CYP3A4","Cytochrome P450 Family 3 Subfamily A Member 4","Protein Coding","P08684","61","GC07M106050","6.65350580215454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","P35670","61","GC13M051930","6.64494514465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"SUOX","Sulfite Oxidase","Protein Coding","P51687","57","GC12P055997","6.62271690368652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUOX"
"CKB","Creatine Kinase B","Protein Coding","P12277","57","GC14M103519","6.61280250549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKB"
"SIRT1","Sirtuin 1","Protein Coding","Q96EB6","62","GC10P067884","6.61154556274414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"TRV-AAC1-4","TRNA-Val (Anticodon AAC) 1-4","RNA Gene","","9","GC05M181218","6.60900449752808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRV-AAC1-4"
"AMT","Aminomethyltransferase","Protein Coding","P48728","55","GC03M054271","6.60412645339966","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMT"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","6.60407495498657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"TAT","Tyrosine Aminotransferase","Protein Coding","P17735","57","GC16M071565","6.5987377166748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT"
"IL4","Interleukin 4","Protein Coding","P05112","59","GC05P132673","6.5933952331543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"HSP90B1","Heat Shock Protein 90 Beta Family Member 1","Protein Coding","P14625","60","GC12P103930","6.5784740447998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90B1"
"CTSB","Cathepsin B","Protein Coding","P07858","63","GC08M011842","6.55542469024658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB"
"LRPPRC","Leucine Rich Pentatricopeptide Repeat Containing","Protein Coding","P42704","54","GC02M043886","6.51899671554565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPPRC"
"PRKCA","Protein Kinase C Alpha","Protein Coding","P17252","64","GC17P066302","6.51752662658691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA"
"SGCB","Sarcoglycan Beta","Protein Coding","Q16585","52","GC04M052019","6.51038980484009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCB"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","6.49568891525269","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"AMPD2","Adenosine Monophosphate Deaminase 2","Protein Coding","Q01433","58","GC01P109616","6.49231004714966","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPD2"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","6.47462797164917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"RPGR","Retinitis Pigmentosa GTPase Regulator","Protein Coding","Q92834","54","GC0XM038269","6.45415306091309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPGR"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","P13726","58","GC01M094956","6.45267724990845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"HTR3A","5-Hydroxytryptamine Receptor 3A","Protein Coding","P46098","58","GC11P113975","6.43888807296753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3A"
"GCSH","Glycine Cleavage System Protein H","Protein Coding","P23434","54","GC16M081081","6.40273475646973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCSH"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","61","GC12P047017","6.39490461349487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"TRIB3","Tribbles Pseudokinase 3","Protein Coding","Q96RU7","54","GC20P000455","6.39278221130371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB3"
"TYMP","Thymidine Phosphorylase","Protein Coding","P19971","59","GC22M050525","6.36777114868164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","62","GC20P044355","6.36516952514648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"AICDA","Activation Induced Cytidine Deaminase","Protein Coding","Q9GZX7","56","GC12M008602","6.36120510101318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AICDA"
"PLAT","Plasminogen Activator, Tissue Type","Protein Coding","P00750","62","GC08M042174","6.35258197784424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT"
"UBC","Ubiquitin C","Protein Coding","P0CG48","56","GC12M124911","6.34878492355347","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC"
"SERAC1","Serine Active Site Containing 1","Protein Coding","Q96JX3","49","GC06M158109","6.34842395782471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERAC1"
"XBP1","X-Box Binding Protein 1","Protein Coding","P17861","59","GC22M028794","6.34751558303833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XBP1"
"TUFM","Tu Translation Elongation Factor, Mitochondrial","Protein Coding","P49411","56","GC16M045584","6.3425612449646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUFM"
"ABCB4","ATP Binding Cassette Subfamily B Member 4","Protein Coding","P21439","59","GC07M087365","6.34180641174316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB4"
"PCNA","Proliferating Cell Nuclear Antigen","Protein Coding","P12004","63","GC20M005114","6.33828687667847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA"
"PANX1","Pannexin 1","Protein Coding","Q96RD7","58","GC11P094128","6.32600879669189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANX1"
"GSR","Glutathione-Disulfide Reductase","Protein Coding","P00390","62","GC08M030678","6.31965446472168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR"
"COX15","Cytochrome C Oxidase Assembly Homolog COX15","Protein Coding","Q7KZN9","54","GC10M099696","6.3172721862793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX15"
"NAGLU","N-Acetyl-Alpha-Glucosaminidase","Protein Coding","P54802","56","GC17P133798","6.31313800811768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGLU"
"ATP8B1","ATPase Phospholipid Transporting 8B1","Protein Coding","O43520","53","GC18M057646","6.30889987945557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP8B1"
"SP1","Sp1 Transcription Factor","Protein Coding","P08047","58","GC12P053380","6.28563594818115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","6.2498779296875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"ADCYAP1R1","ADCYAP Receptor Type I","Protein Coding","P41586","57","GC07P031058","6.22720050811768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1R1"
"GUSB","Glucuronidase Beta","Protein Coding","P08236","62","GC07M065960","6.22649574279785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
"ASPG","Asparaginase","Protein Coding","Q86U10","48","GC14P104085","6.18714189529419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPG"
"JAG1","Jagged Canonical Notch Ligand 1","Protein Coding","P78504","63","GC20M010637","6.16088199615479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1"
"CDA","Cytidine Deaminase","Protein Coding","P32320","55","GC01P060850","6.15008592605591","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDA"
"AOC1","Amine Oxidase Copper Containing 1","Protein Coding","P19801","55","GC07P150824","6.12732028961182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC1"
"SLC37A4","Solute Carrier Family 37 Member 4","Protein Coding","O43826","54","GC11M133861","6.1251974105835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC37A4"
"GALK1","Galactokinase 1","Protein Coding","P51570","60","GC17M075751","6.11861610412598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK1"
"FUS","FUS RNA Binding Protein","Protein Coding","P35637","58","GC16P031180","6.10743236541748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUS"
"GATM","Glycine Amidinotransferase","Protein Coding","P50440","58","GC15M045361","6.0905065536499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATM"
"PRKCG","Protein Kinase C Gamma","Protein Coding","P05129","64","GC19P053879","6.07660675048828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCG"
"HFE","Homeostatic Iron Regulator","Protein Coding","Q30201","58","GC06P026087","6.07363700866699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"HBA1","Hemoglobin Subunit Alpha 1","Protein Coding","P69905","55","GC16P103971","6.07282543182373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBA1"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","P51681","59","GC03P061355","6.0660457611084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"MT-ATP8","Mitochondrially Encoded ATP Synthase Membrane Subunit 8","Protein Coding","P03928","42","GCMTP008368","6.04983282089233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP8"
"CD8A","CD8 Subunit Alpha","Protein Coding","P01732","61","GC02M086784","6.04541015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"OGDH","Oxoglutarate Dehydrogenase","Protein Coding","Q02218","60","GC07P044606","6.02689647674561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGDH"
"EP300","E1A Binding Protein P300","Protein Coding","Q09472","65","GC22P081600","6.02487087249756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"PKM","Pyruvate Kinase M1/2","Protein Coding","P14618","62","GC15M072199","6.00036668777466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKM"
"HDAC1","Histone Deacetylase 1","Protein Coding","Q13547","63","GC01P032292","5.99909782409668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"RPE65","Retinoid Isomerohydrolase RPE65","Protein Coding","Q16518","58","GC01M068428","5.99151706695557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPE65"
"SLC25A22","Solute Carrier Family 25 Member 22","Protein Coding","Q9H936","54","GC11M013234","5.98884391784668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A22"
"PGR-AS1","PGR Antisense RNA 1","RNA Gene","","19","GC11P101136","5.94666576385498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR-AS1"
"TGM6","Transglutaminase 6","Protein Coding","O95932","51","GC20P002380","5.9355525970459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM6"
"P2RX7","Purinergic Receptor P2X 7","Protein Coding","Q99572","59","GC12P136098","5.93310594558716","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX7"
"GSTP1","Glutathione S-Transferase Pi 1","Protein Coding","P09211","62","GC11P067583","5.93302154541016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1"
"SLC25A19","Solute Carrier Family 25 Member 19","Protein Coding","Q9HC21","56","GC17M090357","5.91804313659668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A19"
"LYRM7","LYR Motif Containing 7","Protein Coding","Q5U5X0","51","GC05P131170","5.91492795944214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYRM7"
"ACY1","Aminoacylase 1","Protein Coding","Q03154","57","GC03P051983","5.89928865432739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACY1"
"TXN","Thioredoxin","Protein Coding","P10599","58","GC09M110243","5.8944206237793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN"
"FOXP3","Forkhead Box P3","Protein Coding","Q9BZS1","60","GC0XM049250","5.89343976974487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"GLDC","Glycine Decarboxylase","Protein Coding","P23378","59","GC09M006522","5.89302253723145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLDC"
"BNIP3L","BCL2 Interacting Protein 3 Like","Protein Coding","O60238","55","GC08P026383","5.89054441452026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3L"
"KMT2D","Lysine Methyltransferase 2D","Protein Coding","O14686","56","GC12M049018","5.88880109786987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2D"
"XIST","X Inactive Specific Transcript","RNA Gene","","32","GC0XM073820","5.86273527145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"ATF6","Activating Transcription Factor 6","Protein Coding","P18850","61","GC01P161766","5.85201644897461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF6"
"TYR","Tyrosinase","Protein Coding","P14679","61","GC11P089177","5.82802820205688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYR"
"G6PD","Glucose-6-Phosphate Dehydrogenase","Protein Coding","P11413","63","GC0XM154610","5.82029104232788","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD"
"PET100","PET100 Cytochrome C Oxidase Chaperone","Protein Coding","P0DJ07","41","GC19P132123","5.81514453887939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PET100"
"CKMT1B","Creatine Kinase, Mitochondrial 1B","Protein Coding","P12532","48","GC15P175206","5.80483150482178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKMT1B"
"SLC52A3","Solute Carrier Family 52 Member 3","Protein Coding","Q9NQ40","55","GC20M000741","5.78409337997437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC52A3"
"IL2RG","Interleukin 2 Receptor Subunit Gamma","Protein Coding","P31785","60","GC0XM071111","5.78128910064697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RG"
"MDH2","Malate Dehydrogenase 2","Protein Coding","P40926","60","GC07P076048","5.77764320373535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2"
"MRPS22","Mitochondrial Ribosomal Protein S22","Protein Coding","P82650","54","GC03P139005","5.74604988098145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS22"
"NTS","Neurotensin","Protein Coding","P30990","53","GC12P085876","5.74262189865112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTS"
"PLG","Plasminogen","Protein Coding","P00747","61","GC06P160702","5.74105262756348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG"
"HBA2","Hemoglobin Subunit Alpha 2","Protein Coding","P69905","52","GC16P103972","5.7327094078064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBA2"
"YWHAZ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta","Protein Coding","P63104","59","GC08M100957","5.69221115112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ"
"SLC25A12","Solute Carrier Family 25 Member 12","Protein Coding","O75746","59","GC02M171783","5.65668487548828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A12"
"AGL","Amylo-Alpha-1, 6-Glucosidase, 4-Alpha-Glucanotransferase","Protein Coding","P35573","58","GC01P099850","5.6544713973999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGL"
"ACHE","Acetylcholinesterase (Yt Blood Group)","Protein Coding","P22303","61","GC07M100889","5.63749980926514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE"
"MFN2","Mitofusin 2","Protein Coding","O95140","61","GC01P011980","5.61325979232788","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","5.61123085021973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"MTO1","Mitochondrial TRNA Translation Optimization 1","Protein Coding","Q9Y2Z2","54","GC06P073461","5.5765266418457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTO1"
"HSD17B10","Hydroxysteroid 17-Beta Dehydrogenase 10","Protein Coding","Q99714","59","GC0XM053431","5.57137584686279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10"
"SLC4A11","Solute Carrier Family 4 Member 11","Protein Coding","Q8NBS3","51","GC20M004231","5.57004165649414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A11"
"KRT18","Keratin 18","Protein Coding","P05783","62","GC12P052948","5.56571340560913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18"
"ASPA","Aspartoacylase","Protein Coding","P45381","56","GC17P003472","5.55542421340942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPA"
"GRIN2D","Glutamate Ionotropic Receptor NMDA Type Subunit 2D","Protein Coding","O15399","61","GC19P133365","5.54862880706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2D"
"REN","Renin","Protein Coding","P00797","61","GC01M204154","5.54270029067993","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"SLC25A3","Solute Carrier Family 25 Member 3","Protein Coding","Q00325","58","GC12P098593","5.53471422195435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A3"
"C3","Complement C3","Protein Coding","P01024","62","GC19M006677","5.51680326461792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
"NFU1","NFU1 Iron-Sulfur Cluster Scaffold","Protein Coding","Q9UMS0","54","GC02M069395","5.50890684127808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFU1"
"IL17A","Interleukin 17A","Protein Coding","Q16552","55","GC06P052186","5.50018787384033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"NDUFAF5","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 5","Protein Coding","Q5TEU4","48","GC20P014035","5.49749946594238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF5"
"FTL","Ferritin Light Chain","Protein Coding","P02792","58","GC19P048965","5.49657201766968","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTL"
"RPL36A-HNRNPH2","RPL36A-HNRNPH2 Readthrough","Protein Coding","","25","GC0XP101409","5.48730802536011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A-HNRNPH2"
"PLA2G2A","Phospholipase A2 Group IIA","Protein Coding","P14555","59","GC01M019975","5.48115158081055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2A"
"QDPR","Quinoid Dihydropteridine Reductase","Protein Coding","P09417","58","GC04M017460","5.44805240631104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QDPR"
"OPA3","Outer Mitochondrial Membrane Lipid Metabolism Regulator OPA3","Protein Coding","Q9H6K4","51","GC19M045527","5.4395170211792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPA3"
"GYS1","Glycogen Synthase 1","Protein Coding","P13807","62","GC19M101265","5.43834924697876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS1"
"ODC1","Ornithine Decarboxylase 1","Protein Coding","P11926","61","GC02M010432","5.42188739776611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1"
"TERC","Telomerase RNA Component","RNA Gene","","37","GC03M169765","5.41909456253052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"ULK2","Unc-51 Like Autophagy Activating Kinase 2","Protein Coding","Q8IYT8","53","GC17M088684","5.41232872009277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK2"
"IL4I1","Interleukin 4 Induced 1","Protein Coding","Q96RQ9","50","GC19M101308","5.40989208221436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4I1"
"MIR140","MicroRNA 140","RNA Gene","","33","GC16P106041","5.38121891021729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140"
"NAXE","NAD(P)HX Epimerase","Protein Coding","Q8NCW5","54","GC01P156591","5.38101291656494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAXE"
"RAG2","Recombination Activating 2","Protein Coding","P55895","52","GC11M036575","5.37826347351074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG2"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","Q9HC29","59","GC16P050693","5.37158107757568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"IL3","Interleukin 3","Protein Coding","P08700","57","GC05P132060","5.35406684875488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL3"
"CKM","Creatine Kinase, M-Type","Protein Coding","P06732","57","GC19M045306","5.35014820098877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKM"
"AFP","Alpha Fetoprotein","Protein Coding","P02771","59","GC04P073431","5.33944749832153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFP"
"TRA-TGC7-1","TRNA-Ala (Anticodon TGC) 7-1","RNA Gene","","16","GC06M100125","5.33607482910156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1"
"DLG1","Discs Large MAGUK Scaffold Protein 1","Protein Coding","Q12959","56","GC03M197042","5.33603143692017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG1"
"PNP","Purine Nucleoside Phosphorylase","Protein Coding","P00491","62","GC14P051461","5.33138179779053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNP"
"LGALS1","Galectin 1","Protein Coding","P09382","56","GC22P037675","5.31841230392456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS1"
"L2HGDH","L-2-Hydroxyglutarate Dehydrogenase","Protein Coding","Q9H9P8","52","GC14M050237","5.30227947235107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=L2HGDH"
"CKMT2","Creatine Kinase, Mitochondrial 2","Protein Coding","P17540","54","GC05P081233","5.29942178726196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKMT2"
"PGM1","Phosphoglucomutase 1","Protein Coding","P36871","60","GC01P063593","5.29764080047607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGM1"
