Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CPS1-IT1","CPS1 Intronic Transcript 1","RNA Gene","","25","GC02P210617","1.81610786914825","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1-IT1"
"ACTN3","Actinin Alpha 3","Protein Coding","Q08043","52","GC11P066546","1.81400561332703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN3"
"UROC1","Urocanate Hydratase 1","Protein Coding","Q96N76","51","GC03M126481","1.81068742275238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UROC1"
"DHX30","DExH-Box Helicase 30","Protein Coding","Q7L2E3","52","GC03P047802","1.7941780090332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX30"
"GAD2","Glutamate Decarboxylase 2","Protein Coding","Q05329","56","GC10P026216","1.79037535190582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD2"
"RAB35","RAB35, Member RAS Oncogene Family","Protein Coding","Q15286","51","GC12M120096","1.7828254699707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB35"
"HARS2","Histidyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","P49590","56","GC05P155886","1.77731192111969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HARS2"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","Q9NVM4","55","GC16P105938","1.77042245864868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"COPG2IT1","COPG2 Imprinted Transcript 1","RNA Gene","","18","GC07P138859","1.76602458953857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPG2IT1"
"SLC3A1","Solute Carrier Family 3 Member 1","Protein Coding","Q07837","59","GC02P044275","1.76466178894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A1"
"PHF8","PHD Finger Protein 8","Protein Coding","Q9UPP1","57","GC0XM053936","1.76373910903931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF8"
"SNRPN","Small Nuclear Ribonucleoprotein Polypeptide N","Protein Coding","P63162","56","GC15P024823","1.76085555553436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPN"
"CRX","Cone-Rod Homeobox","Protein Coding","O43186","54","GC19P047819","1.75154948234558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRX"
"ADGRG6","Adhesion G Protein-Coupled Receptor G6","Protein Coding","Q86SQ4","54","GC06P142301","1.7413318157196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRG6"
"OIP5-AS1","OIP5 Antisense RNA 1","RNA Gene","","26","GC15P175121","1.74127793312073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OIP5-AS1"
"UQCRH","Ubiquinol-Cytochrome C Reductase Hinge Protein","Protein Coding","P07919","51","GC01P046303","1.74105477333069","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRH"
"GRIK4","Glutamate Ionotropic Receptor Kainate Type Subunit 4","Protein Coding","Q16099","55","GC11P123622","1.73479974269867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK4"
"GGH","Gamma-Glutamyl Hydrolase","Protein Coding","Q92820","55","GC08M063014","1.72899115085602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH"
"PRX","Periaxin","Protein Coding","Q9BXM0","53","GC19M040393","1.72286486625671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRX"
"PDIA6","Protein Disulfide Isomerase Family A Member 6","Protein Coding","Q15084","51","GC02M010784","1.72189950942993","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA6"
"MIR9-2HG","MIR9-2 Host Gene","RNA Gene","","28","GC05M088507","1.71887028217316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-2HG"
"PDE6H","Phosphodiesterase 6H","Protein Coding","Q13956","51","GC12P047081","1.7126624584198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6H"
"SLC3A2","Solute Carrier Family 3 Member 2","Protein Coding","P08195","55","GC11P062856","1.7114474773407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2"
"SLC17A7","Solute Carrier Family 17 Member 7","Protein Coding","Q9P2U7","54","GC19M049429","1.71092915534973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A7"
"CCS","Copper Chaperone For Superoxide Dismutase","Protein Coding","O14618","54","GC11P066593","1.71023964881897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCS"
"GAST","Gastrin","Protein Coding","P01350","52","GC17P041712","1.70691204071045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAST"
"PPAT","Phosphoribosyl Pyrophosphate Amidotransferase","Protein Coding","Q06203","54","GC04M056393","1.70590007305145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPAT"
"CRYM","Crystallin Mu","Protein Coding","Q14894","55","GC16M021238","1.70290625095367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYM"
"FDPS","Farnesyl Diphosphate Synthase","Protein Coding","P14324","58","GC01P155308","1.7016453742981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDPS"
"DLEU1","Deleted In Lymphocytic Leukemia 1","RNA Gene","O43261","36","GC13P050967","1.69885492324829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU1"
"ADSS2","Adenylosuccinate Synthase 2","Protein Coding","P30520","54","GC01M244679","1.68821358680725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADSS2"
"PDE4A","Phosphodiesterase 4A","Protein Coding","P27815","56","GC19P010416","1.66548645496368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4A"
"MPC1","Mitochondrial Pyruvate Carrier 1","Protein Coding","Q9Y5U8","54","GC06M166364","1.6610119342804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPC1"
"SLC1A5","Solute Carrier Family 1 Member 5","Protein Coding","Q15758","57","GC19M101192","1.65611124038696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A5"
"MIR873","MicroRNA 873","RNA Gene","","26","GC09M028888","1.65160083770752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR873"
"PLEK2","Pleckstrin 2","Protein Coding","Q9NYT0","49","GC14M067386","1.63949584960938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEK2"
"IRX2-DT","IRX2 Divergent Transcript","RNA Gene","Q86SI9","33","GC05P002751","1.63768005371094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRX2-DT"
"CA3","Carbonic Anhydrase 3","Protein Coding","P07451","54","GC08P085373","1.63698720932007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA3"
"HRH2","Histamine Receptor H2","Protein Coding","P25021","55","GC05P175659","1.62749624252319","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH2"
"SNX9","Sorting Nexin 9","Protein Coding","Q9Y5X1","52","GC06P165434","1.62710273265839","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX9"
"PCAT2","Prostate Cancer Associated Transcript 2","RNA Gene","","25","GC08M127072","1.60870015621185","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT2"
"AQP3","Aquaporin 3 (Gill Blood Group)","Protein Coding","Q92482","58","GC09M033431","1.6077253818512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP3"
"SCGB1A1","Secretoglobin Family 1A Member 1","Protein Coding","P11684","54","GC11P062405","1.60608863830566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1A1"
"ST7-OT3","ST7 Overlapping Transcript 3","RNA Gene","","22","GC07P117243","1.59852159023285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST7-OT3"
"IGHE","Immunoglobulin Heavy Constant Epsilon","Protein Coding","P01854","42","GC14M122252","1.58341789245605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE"
"SLC14A1","Solute Carrier Family 14 Member 1 (Kidd Blood Group)","Protein Coding","Q13336","56","GC18P045687","1.57875192165375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC14A1"
"ADH5","Alcohol Dehydrogenase 5 (Class III), Chi Polypeptide","Protein Coding","P11766","58","GC04M099070","1.57808339595795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH5"
"LGMN","Legumain","Protein Coding","Q99538","55","GC14M092703","1.57708191871643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGMN"
"ARHGAP1","Rho GTPase Activating Protein 1","Protein Coding","Q07960","55","GC11M132454","1.5757223367691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP1"
"PGAP2","Post-GPI Attachment To Proteins 2","Protein Coding","Q9UHJ9","47","GC11P003797","1.56753659248352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGAP2"
"INPP5J","Inositol Polyphosphate-5-Phosphatase J","Protein Coding","Q15735","50","GC22P081283","1.56519484519958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5J"
"RPL35","Ribosomal Protein L35","Protein Coding","P42766","55","GC09M124857","1.54873502254486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL35"
"PPL","Periplakin","Protein Coding","O60437","50","GC16M027123","1.54849481582642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPL"
"RBM39","RNA Binding Motif Protein 39","Protein Coding","Q14498","51","GC20M036578","1.54454743862152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM39"
"SERPINA5","Serpin Family A Member 5","Protein Coding","P05154","56","GC14P094563","1.53507506847382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA5"
"CHML","CHM Like Rab Escort Protein","Protein Coding","P26374","47","GC01M241628","1.53068375587463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHML"
"MIR137","MicroRNA 137","RNA Gene","","27","GC01M098046","1.53016436100006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137"
"WNT3A","Wnt Family Member 3A","Protein Coding","P56704","60","GC01P232233","1.52493691444397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT3A"
"GABPA","GA Binding Protein Transcription Factor Subunit Alpha","Protein Coding","Q06546","47","GC21P025734","1.5245349407196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABPA"
"GNAT2","G Protein Subunit Alpha Transducin 2","Protein Coding","P19087","56","GC01M109603","1.52229559421539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAT2"
"NPRL3","NPR3 Like, GATOR1 Complex Subunit","Protein Coding","Q12980","50","GC16M000084","1.51988339424133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPRL3"
"SLC38A3","Solute Carrier Family 38 Member 3","Protein Coding","Q99624","50","GC03P050205","1.51985728740692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC38A3"
"HNRNPL","Heterogeneous Nuclear Ribonucleoprotein L","Protein Coding","P14866","52","GC19M038836","1.51620674133301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPL"
"RPS3A","Ribosomal Protein S3A","Protein Coding","P61247","50","GC04P151099","1.51620674133301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3A"
"BOLA2","BolA Family Member 2","Protein Coding","Q9H3K6","41","GC16M045645","1.50865697860718","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOLA2"
"LSM4","LSM4 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated","Protein Coding","Q9Y4Z0","51","GC19M018306","1.50377631187439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM4"
"EEA1","Early Endosome Antigen 1","Protein Coding","Q15075","54","GC12M092770","1.50350785255432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEA1"
"SFXN1","Sideroflexin 1","Protein Coding","Q9H9B4","48","GC05P175477","1.50192666053772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFXN1"
"SLC7A9","Solute Carrier Family 7 Member 9","Protein Coding","P82251","54","GC19M032830","1.50092852115631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A9"
"AKR1A1","Aldo-Keto Reductase Family 1 Member A1","Protein Coding","P14550","56","GC01P045550","1.49336183071136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1A1"
